------------------------------------------------------------------------

  Format: wavelength (microns), real and imaginary indices of refraction.
  Tables A2-A6 are in free format.

------------------------------------------------------------------------

                                   Table A2
_____________________________________________________________________________
   WAVELENGTH WATER             ICE              SODIUM CHLORIDE  SEA SALT
   microns    n     k           n     k          n      k         n      k
______________________________________________________________________________

     0.200   1.396  1.10e-7    1.394  1.50e-8    1.790  3.1e-9    1.510  1.0e-4 
     0.250   1.362  3.35e-8    1.351  8.60e-9    1.655  2.3e-9    1.510  5.0e-6 
     0.300   1.349  1.60e-8    1.334  5.50e-9    1.607  1.5e-9    1.510  2.0e-6 
     0.337   1.345  8.45e-9    1.326  4.50e-9    1.587  8.7e-10   1.510  4.0e-7 
     0.400   1.339  1.86e-9    1.320  2.71e-9    1.567  3.8e-10   1.500  3.0e-8 
     0.488   1.335  9.69e-10   1.313  1.75e-9    1.553  1.1e-10   1.500  2.0e-8 
     0.515   1.334  1.18e-9    1.312  2.19e-9    1.550  4.9e-11   1.500  1.0e-8 
     0.550   1.333  1.96e-9    1.311  3.11e-9    1.547  6.8e-11   1.500  1.0e-8 
     0.633   1.332  1.46e-8    1.308  1.09e-8    1.542  1.1e-10   1.490  2.0e-8 
     0.694   1.331  3.05e-8    1.306  2.62e-8    1.539  1.5e-10   1.490  1.0e-7 
     0.860   1.329  3.29e-7    1.303  2.15e-7    1.534  2.4e-10   1.480  3.0e-6 
     1.060   1.326  4.18e-6    1.300  1.96e-6    1.531  3.5e-10   1.470  2.0e-4 
     1.300   1.323  3.69e-5    1.295  1.32e-5    1.529  4.8e-10   1.470  4.0e-4 
     1.536   1.318  9.97e-5    1.290  6.10e-4    1.528  6.1e-10   1.460  6.0e-4 
     1.800   1.312  1.15e-4    1.282  1.13e-4    1.527  7.5e-10   1.450  8.0e-4 
     2.000   1.306  1.10e-3    1.273  1.61e-3    1.527  8.6e-10   1.450  0.0010
     2.250   1.292  3.90e-4    1.256  2.13e-4    1.526  1.0e-09   1.440  0.0020
     2.500   1.261  0.00174    1.225  7.95e-4    1.525  1.1e-9    1.430  0.0040
     2.700   1.188  0.0190     1.163  0.00293    1.525  1.2e-9    1.400  0.0070
     3.000   1.371  0.272      1.045  0.429      1.524  1.4e-9    1.610  0.0100
     3.200   1.478  0.0924     1.652  0.283      1.524  1.5e-9    1.490  0.0030
     3.392   1.422  0.0204     1.510  0.0401     1.523  1.6e-9    1.480  0.0020
     3.500   1.400  0.0094     1.453  0.0161     1.523  1.65e-9   1.480  0.0016
     3.750   1.369  0.0035     1.391  0.0070     1.522  1.8e-9    1.470  0.0014
     4.000   1.351  0.0046     1.361  0.0100     1.522  1.8e-9    1.480  0.0014
     4.500   1.332  0.0134     1.340  0.0287     1.520  1.8e-9    1.490  0.0014
     5.000   1.325  0.0124     1.327  0.0120     1.519  1.7e-9    1.470  0.0025
     5.500   1.298  0.0116     1.299  0.0217     1.517  2.6e-9    1.420  0.0036
     6.000   1.265  0.107      1.296  0.0647     1.515  4.9e-9    1.410  0.0110
     6.200   1.363  0.0880     1.313  0.0683     1.515  5.8e-9    1.600  0.022
     6.500   1.339  0.0392     1.320  0.0559     1.513  7.2e-9    1.460  0.005
