# fraction     aspect_ratio  
0.6618500E-01  0.3349000E+00      
0.6502500E-01  0.3669000E+00      
0.6363500E-01  0.4019000E+00      
0.6205000E-01  0.4403000E+00      
0.5872000E-01  0.4823000E+00      
0.5335000E-01  0.5283000E+00      
0.4776250E-01  0.5787000E+00      
0.4295300E-01  0.6339000E+00      
0.4032050E-01  0.6944000E+00      
0.0000000E+00  0.7607000E+00      
0.0000000E+00  0.8333000E+00      
0.0000000E+00  0.9129000E+00      
0.0000000E+00  0.1000000E+01      
0.0000000E+00  0.1095400E+01      
0.0000000E+00  0.1200000E+01      
0.0000000E+00  0.1314500E+01      
0.4032050E-01  0.1440000E+01      
0.4295300E-01  0.1577400E+01      
0.4776250E-01  0.1728000E+01      
0.5335000E-01  0.1892900E+01      
0.5872000E-01  0.2073600E+01      
0.6205000E-01  0.2271500E+01      
0.6363500E-01  0.2488320E+01      
0.6502500E-01  0.2725800E+01      
0.6618500E-01  0.2986000E+01      
